doc,n_characters,n_syllables,n_tokens,n_polysyllabic_tokens,n_long_tokens,n_types,n_sentences,avg_characters_per_word,std_characters_per_word,avg_syllables_per_word,std_syllables_per_word,ratio_long_words,ratio_content_words,ratio_passive_sentences,ratio_sentences_negation,avg_words_per_sentence,std_words_per_sentence
47.male.INTJ.Dutch.A.txt,6790,2254,1244,552,765,488,74,5.301,3.28,1.812,1.163,0.615,0.4437,0.203,0.095,16.811,8.069
48.female.ESFJ.Dutch.A.txt,6522,2138,1261,550,801,509,80,5.054,2.917,1.695,1.041,0.635,0.45533,0.15,0.2,15.762,7.568
49.female.ESFJ.Dutch.OV.txt,5275,1727,1056,419,726,440,81,4.859,2.798,1.635,1.003,0.688,0.45215,0.111,0.173,13.037,4.454
5.male.ENTJ.Dutch.A.txt,6203,2033,1213,512,791,502,78,5.009,2.83,1.676,1.01,0.652,0.45862,0.141,0.128,15.551,6.585
50.female.ENFJ.Dutch.WV.txt,6696,2219,1172,563,678,504,83,5.609,3.538,1.893,1.229,0.578,0.45613,0.253,0.12,14.12,6.941
51.female.ESFJ.Dutch.A.txt,6547,2181,1207,554,712,549,66,5.299,3.152,1.807,1.157,0.59,0.44961,0.197,0.076,18.288,8.548
52.female.ENFJ.Dutch.A.txt,6293,2065,1269,497,856,474,85,4.849,2.81,1.627,0.998,0.675,0.45877,0.082,0.153,14.929,6.339
53.female.ISFJ.Other.Other.txt,7764,2515,1318,659,741,575,108,5.653,3.304,1.908,1.183,0.562,0.42897,0.102,0.13,12.204,8.189
54.male.INFJ.Dutch.A.txt,6772,2148,1232,533,750,595,89,5.32,3.122,1.744,1.105,0.609,0.43781,0.202,0.124,13.843,9.707
55.female.INFP.Dutch.A.txt,7833,2563,1387,633,808,581,51,5.516,3.352,1.848,1.171,0.583,0.46431,0.353,0.314,27.196,10.325
56.male.INFP.Dutch.A.txt,7033,2359,1222,588,701,501,81,5.627,3.489,1.93,1.275,0.574,0.45095,0.148,0.086,15.086,8.195
57.female.ISFP.Dutch.WV.txt,6341,2069,1210,508,761,502,60,5.115,3.063,1.71,1.086,0.629,0.44858,0.25,0.167,20.167,11.774
58.female.ISFP.Dutch.A.txt,6381,2151,1202,542,752,451,71,5.196,3.196,1.79,1.133,0.626,0.45921,0.211,0.211,16.93,7.192
59.female.ESFJ.Dutch.OV.txt,6440,2139,1160,519,697,514,76,5.426,3.361,1.844,1.226,0.601,0.45029,0.158,0.105,15.263,7.994
6.female.ESTP.Dutch.A.txt,6473,2136,1208,537,749,499,68,5.245,3.141,1.768,1.103,0.62,0.45595,0.118,0.206,17.765,7.31
60.male.INTJ.Dutch.A.txt,6297,2056,1208,497,762,482,86,5.094,2.997,1.702,1.035,0.631,0.44735,0.128,0.209,14.047,7.412
61.male.INTJ.Dutch.Other.txt,6382,2125,1192,540,730,502,75,5.216,3.087,1.783,1.124,0.612,0.44882,0.133,0.147,15.893,5.513
62.female.INTJ.Dutch.Other.txt,6392,2146,1207,547,740,458,56,5.21,3.09,1.778,1.079,0.613,0.46171,0.375,0.179,21.554,10.772
63.female.ESTJ.Dutch.A.txt,6227,2062,1167,514,740,485,71,5.203,3.08,1.767,1.105,0.634,0.45421,0.169,0.113,16.437,7.688
64.female.ESFJ.Dutch.OV.txt,6639,2180,1205,539,741,488,88,5.377,3.293,1.809,1.143,0.615,0.45233,0.148,0.125,13.693,5.178
65.female.INFJ.Dutch.A.txt,6579,2133,1282,509,836,534,81,5.008,2.985,1.664,1.054,0.652,0.45685,0.185,0.21,15.827,7.855
66.female.ENFJ.Dutch.L.txt,6843,2242,1308,527,846,497,71,5.106,3.11,1.714,1.114,0.647,0.44921,0.127,0.324,18.423,8.491
67.female.ESFJ.Dutch.A.txt,6733,2281,1290,552,833,469,76,5.094,3.016,1.768,1.106,0.646,0.4543,0.105,0.197,16.974,6.554
68.male.INFP.Dutch.L.txt,6231,2041,1157,512,712,475,70,5.256,3.241,1.764,1.094,0.615,0.44906,0.229,0.1,16.529,7.271
69.female.ESFJ.Dutch.A.txt,6080,1994,1218,466,825,526,97,4.881,2.905,1.637,1.034,0.677,0.45298,0.093,0.155,12.557,7.05
7.female.INFJ.Dutch.A.txt,7057,2306,1307,547,808,575,90,5.259,3.194,1.764,1.129,0.618,0.44977,0.133,0.156,14.522,8.106
70.female.ENFJ.Dutch.A.txt,5526,1780,1086,424,729,482,57,4.924,3.019,1.639,1.036,0.671,0.43659,0.105,0.175,19.053,11.373
71.female.INTJ.Dutch.A.txt,6567,2116,1200,519,747,506,73,5.253,3.337,1.763,1.178,0.623,0.43408,0.11,0.205,16.438,8.456
72.male.INFJ.Dutch.A.txt,7002,2329,1237,562,740,523,37,5.519,3.437,1.883,1.221,0.598,0.45728,0.324,0.324,33.432,15.187
73.male.ISFJ.Dutch.A.txt,3971,1306,751,303,495,342,51,5.182,3.486,1.739,1.203,0.659,0.45701,0.176,0.098,14.725,6.213
74.female.ESFJ.Dutch.A.txt,6163,2076,1227,498,819,420,62,4.928,3.085,1.692,1.115,0.667,0.46295,0.242,0.29,19.79,8.815
75.female.ESFJ.Dutch.A.txt,6139,2021,1207,485,795,456,100,4.949,2.942,1.674,1.072,0.659,0.45254,0.12,0.09,12.07,5.868
76.female.ISFJ.Dutch.A.txt,6454,2110,1222,527,782,540,65,5.16,3.088,1.727,1.081,0.64,0.45582,0.154,0.231,18.8,9.665
77.male.INFJ.Dutch.Other.txt,6451,2100,1153,508,688,512,64,5.434,3.44,1.821,1.21,0.597,0.43918,0.141,0.203,18.016,12.014
78.female.ENFJ.Dutch.A.txt,6986,2328,1354,551,889,503,70,5.047,3.076,1.719,1.092,0.657,0.45716,0.243,0.1,19.343,6.399
79.female.ESFJ.Dutch.A.txt,7995,2663,1458,689,871,609,78,5.386,3.218,1.826,1.132,0.597,0.46168,0.218,0.141,18.692,7.219
8.male.INTJ.Dutch.A.txt,6661,2195,1283,543,847,504,65,5.005,2.887,1.711,1.04,0.66,0.44565,0.277,0.2,19.738,9.655
80.male.ENTJ.Dutch.A.txt,6436,2109,1192,524,710,529,63,5.282,3.102,1.769,1.109,0.596,0.45609,0.159,0.175,18.921,9.877
81.female.ENFJ.Dutch.A.txt,7176,2419,1392,605,885,511,91,5.067,3.03,1.738,1.083,0.636,0.46139,0.231,0.099,15.297,6.526
82.female.INTJ.Dutch.A.txt,6248,2069,1223,500,811,433,66,4.962,2.996,1.692,1.058,0.663,0.4573,0.152,0.136,18.53,7.353
83.female.ISFJ.Dutch.A.txt,7420,2460,1419,596,925,534,112,5.105,3.098,1.734,1.116,0.652,0.45099,0.08,0.089,12.67,5.21
84.female.ENFP.Dutch.Other.txt,6283,2056,1226,491,813,482,79,4.992,2.921,1.677,1.061,0.663,0.44682,0.101,0.266,15.519,7.55
85.female.ISTJ.Dutch.A.txt,6341,2091,1228,520,793,472,62,5.004,2.935,1.703,1.058,0.646,0.44493,0.226,0.113,19.806,7.897
86.male.ENFJ.Dutch.A.txt,6511,2142,1199,528,760,523,66,5.309,3.316,1.786,1.129,0.634,0.44964,0.227,0.152,18.167,9.413
87.female.ESFJ.Dutch.A.txt,8081,2739,1398,662,801,567,81,5.665,3.635,1.959,1.323,0.573,0.4541,0.111,0.062,17.259,8.536
88.female.ESFJ.Dutch.A.txt,7788,2578,1538,620,1035,528,102,4.954,2.958,1.676,1.047,0.673,0.45449,0.186,0.147,15.078,6.453
89.female.ENFJ.Dutch.A.txt,6597,2183,1274,522,814,474,83,5.063,2.986,1.714,1.084,0.639,0.45406,0.205,0.205,15.349,7.578
9.female.ENFJ.Dutch.A.txt,6844,2281,1289,568,805,485,88,5.187,3.142,1.77,1.117,0.625,0.45329,0.068,0.125,14.648,6.86
90.female.ENFP.Dutch.A.txt,6188,2074,1215,496,808,485,67,5.002,3.079,1.707,1.064,0.665,0.45954,0.119,0.224,18.134,9.11
91.female.ENFJ.Dutch.A.txt,6562,2165,1259,531,792,508,53,5.105,3.054,1.72,1.068,0.629,0.45455,0.208,0.17,23.755,13.614
92.female.INFJ.Dutch.A.txt,9495,3141,1736,762,1053,636,94,5.309,3.244,1.809,1.163,0.607,0.44048,0.17,0.17,18.468,11.396
93.female.ISFJ.Dutch.A.txt,6403,2153,1238,529,791,465,58,5.075,3.12,1.739,1.097,0.639,0.46565,0.207,0.155,21.345,9.116
94.female.ESFJ.Dutch.A.txt,7332,2363,1461,547,997,572,117,4.839,2.95,1.617,1.051,0.682,0.43718,0.077,0.171,12.487,7.771
95.female.ESFJ.Dutch.A.txt,7168,2317,1399,587,895,590,125,4.924,2.857,1.656,1.037,0.64,0.43253,0.112,0.072,11.192,5.462
96.female.ESFJ.Dutch.A.txt,6206,2113,1208,482,802,433,65,5.05,3.161,1.749,1.188,0.664,0.46217,0.185,0.154,18.585,8.48
97.female.INTJ.Dutch.OV.txt,7513,2461,1407,610,887,598,78,5.203,3.161,1.749,1.08,0.63,0.44682,0.205,0.154,18.038,8.144
98.female.ENFP.Dutch.Other.txt,6209,2100,1153,508,719,461,55,5.309,3.339,1.821,1.214,0.624,0.46497,0.127,0.2,20.964,7.562
99.female.ISFJ.Dutch.A.txt,6914,2262,1328,546,870,529,73,5.081,3.079,1.703,1.077,0.655,0.45318,0.082,0.151,18.192,9.4
