doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
112.male.ENFJ.Dutch.A.txt,nan,0.198,0.23,0.143,0.088,0.097,0.056,0.052,0.048,0.036,0.013,0.013,0.012,0.007,0.004,0.002,0.001,nan,0.001,nan,nan,nan,nan,nan,nan,nan
113.male.ESFP.Dutch.A.txt,nan,0.182,0.216,0.137,0.072,0.083,0.06,0.051,0.034,0.053,0.042,0.034,0.021,0.006,0.001,0.003,nan,0.002,0.001,nan,nan,0.002,nan,nan,nan,nan
114.female.ENFJ.Dutch.OV.txt,nan,0.188,0.263,0.105,0.085,0.101,0.053,0.053,0.043,0.029,0.027,0.015,0.021,0.007,0.002,0.002,0.002,0.001,0.001,0.001,nan,0.001,nan,nan,nan,nan
115.male.ENFP.Dutch.A.txt,0.001,0.174,0.227,0.121,0.082,0.099,0.059,0.059,0.054,0.035,0.041,0.017,0.012,0.006,0.004,0.001,0.004,0.003,0.001,0.001,nan,nan,0.001,nan,nan,nan
116.female.ENFP.Dutch.A.txt,nan,0.18,0.232,0.128,0.075,0.1,0.058,0.068,0.046,0.043,0.021,0.018,0.015,0.009,0.002,0.002,0.003,0.001,nan,nan,0.001,nan,nan,nan,nan,nan
117.female.INFJ.Dutch.A.txt,nan,0.18,0.252,0.135,0.084,0.093,0.042,0.066,0.035,0.036,0.027,0.016,0.02,0.009,nan,0.002,nan,nan,0.002,nan,nan,nan,nan,nan,0.001,nan
118.female.ESFJ.Dutch.WV.txt,nan,0.176,0.233,0.119,0.079,0.112,0.049,0.074,0.034,0.04,0.032,0.017,0.015,0.008,0.006,0.003,nan,0.001,0.001,0.001,nan,0.002,nan,nan,nan,nan
119.female.ISFJ.Dutch.B.txt,nan,0.183,0.24,0.124,0.099,0.094,0.046,0.06,0.046,0.029,0.034,0.014,0.011,0.012,0.002,0.001,0.003,nan,0.001,nan,0.001,nan,nan,nan,nan,nan
12.female.ISFJ.Dutch.Other.txt,0.001,0.175,0.256,0.127,0.085,0.106,0.048,0.057,0.042,0.028,0.028,0.025,0.009,0.007,nan,0.002,0.002,0.002,nan,0.001,nan,nan,nan,nan,0.001,nan
120.female.ISFJ.Dutch.A.txt,0.001,0.161,0.261,0.121,0.077,0.089,0.059,0.068,0.047,0.031,0.032,0.016,0.02,0.005,0.002,0.002,0.004,0.001,0.001,0.002,nan,nan,nan,nan,0.001,nan
121.female.ESFJ.Dutch.A.txt,0.001,0.172,0.267,0.11,0.072,0.104,0.062,0.055,0.049,0.037,0.025,0.02,0.012,0.006,0.002,nan,0.003,0.001,nan,nan,0.001,0.002,nan,nan,nan,nan
122.female.ESTJ.Dutch.A.txt,0.001,0.165,0.282,0.129,0.098,0.092,0.052,0.05,0.045,0.038,0.026,0.006,0.006,0.004,0.002,0.002,nan,nan,0.001,nan,0.001,nan,nan,nan,0.001,nan
123.female.ENFP.Dutch.A.txt,nan,0.193,0.217,0.136,0.077,0.098,0.042,0.058,0.049,0.036,0.04,0.022,0.016,0.003,0.005,0.003,0.003,nan,0.001,nan,nan,nan,nan,nan,nan,0.001
124.female.INTJ.Dutch.OV.txt,nan,0.178,0.228,0.111,0.09,0.093,0.055,0.063,0.039,0.037,0.037,0.021,0.023,0.007,0.006,0.004,0.003,0.002,0.001,nan,0.002,nan,nan,nan,nan,nan
125.female.ISFJ.Dutch.A.txt,nan,0.163,0.246,0.106,0.082,0.092,0.064,0.069,0.063,0.027,0.033,0.023,0.01,0.011,0.003,0.002,0.003,nan,0.001,nan,0.001,nan,nan,nan,nan,nan
126.female.ESFJ.Dutch.A.txt,0.001,0.167,0.226,0.14,0.09,0.107,0.054,0.05,0.051,0.03,0.031,0.024,0.011,0.007,0.003,0.002,0.002,nan,nan,nan,0.002,nan,nan,0.001,nan,nan
127.female.ISTJ.Dutch.OV.txt,nan,0.163,0.203,0.118,0.066,0.1,0.067,0.068,0.051,0.043,0.041,0.031,0.017,0.015,0.006,0.005,0.003,0.003,0.001,0.002,nan,nan,nan,nan,nan,nan
128.female.ESFJ.Dutch.A.txt,0.003,0.166,0.259,0.147,0.099,0.097,0.05,0.048,0.037,0.024,0.031,0.013,0.016,0.004,0.003,0.002,0.001,nan,0.001,nan,nan,nan,nan,nan,nan,nan
129.female.ENFJ.Dutch.A.txt,0.001,0.174,0.25,0.145,0.094,0.093,0.048,0.038,0.037,0.043,0.026,0.015,0.015,0.011,0.005,0.002,0.002,nan,0.002,0.001,nan,nan,nan,nan,nan,nan
13.female.ENFJ.Dutch.A.txt,0.001,0.163,0.249,0.141,0.086,0.091,0.056,0.063,0.05,0.031,0.029,0.013,0.013,0.003,0.002,0.004,0.001,0.001,0.002,nan,0.001,nan,0.001,nan,nan,nan
130.female.ESFJ.Other.Other.txt,0.001,0.183,0.206,0.129,0.081,0.108,0.06,0.069,0.041,0.031,0.034,0.025,0.02,0.006,nan,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
131.female.ESTJ.Dutch.A.txt,nan,0.171,0.224,0.112,0.076,0.093,0.062,0.069,0.045,0.036,0.037,0.026,0.022,0.008,0.005,0.002,0.004,0.002,0.001,0.001,0.001,0.001,nan,nan,nan,nan
132.female.ISFJ.Dutch.A.txt,nan,0.187,0.239,0.109,0.083,0.096,0.062,0.065,0.038,0.039,0.03,0.025,0.012,0.004,0.001,0.005,0.001,nan,0.001,0.002,nan,nan,nan,nan,nan,nan
133.female.INFJ.Dutch.A.txt,nan,0.176,0.264,0.14,0.088,0.098,0.059,0.052,0.043,0.03,0.016,0.012,0.01,0.003,0.002,0.004,0.001,nan,nan,nan,nan,0.001,nan,nan,nan,nan
134.male.ENTJ.Dutch.A.txt,0.002,0.183,0.24,0.122,0.081,0.096,0.06,0.05,0.042,0.038,0.038,0.02,0.01,0.01,0.003,0.001,0.003,0.001,0.001,nan,0.001,nan,nan,nan,nan,nan
135.female.ENFJ.Dutch.A.txt,nan,0.195,0.242,0.171,0.083,0.101,0.046,0.058,0.034,0.018,0.018,0.014,0.006,0.008,0.002,0.002,0.001,0.002,nan,nan,nan,nan,nan,nan,nan,nan
136.female.ESFP.Dutch.A.txt,0.003,0.161,0.247,0.135,0.094,0.113,0.06,0.059,0.034,0.035,0.022,0.013,0.009,0.006,0.002,0.003,nan,0.001,0.001,0.001,nan,nan,nan,nan,nan,nan
137.female.ESFJ.Other.Other.txt,nan,0.178,0.252,0.112,0.065,0.1,0.061,0.067,0.051,0.041,0.036,0.013,0.013,0.005,0.001,0.002,0.001,0.001,nan,0.001,nan,nan,nan,nan,nan,nan
138.female.ESFJ.Dutch.A.txt,0.001,0.194,0.241,0.139,0.094,0.088,0.054,0.055,0.04,0.029,0.022,0.018,0.009,0.006,0.002,0.002,0.002,0.001,nan,0.001,0.001,nan,nan,nan,nan,nan
139.male.ENTP.Dutch.A.txt,0.001,0.152,0.266,0.111,0.085,0.078,0.052,0.072,0.055,0.034,0.034,0.024,0.012,0.007,0.004,0.006,0.002,0.001,0.001,nan,nan,0.002,nan,nan,0.001,nan
14.female.ISFJ.Dutch.OV.txt,0.003,0.166,0.278,0.116,0.08,0.092,0.061,0.052,0.05,0.026,0.034,0.021,0.008,0.004,0.004,0.001,0.002,0.002,0.001,0.001,nan,nan,nan,nan,nan,nan
140.female.ESFJ.Dutch.A.txt,0.001,0.158,0.239,0.15,0.085,0.121,0.051,0.051,0.038,0.034,0.032,0.012,0.013,0.009,0.003,0.002,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan
141.male.ENTJ.Dutch.A.txt,nan,0.151,0.269,0.121,0.086,0.112,0.059,0.057,0.033,0.027,0.025,0.015,0.023,0.013,0.003,0.004,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan
142.male.INFJ.Dutch.A.txt,0.001,0.178,0.222,0.096,0.082,0.096,0.054,0.058,0.058,0.04,0.04,0.026,0.022,0.01,0.006,0.008,nan,0.001,0.001,nan,nan,nan,nan,nan,nan,nan
143.male.ISFP.Dutch.A.txt,nan,0.179,0.246,0.13,0.08,0.102,0.054,0.047,0.05,0.032,0.026,0.025,0.014,0.006,0.002,nan,0.002,0.002,nan,nan,0.001,nan,nan,nan,nan,nan
144.male.INTJ.Dutch.A.txt,nan,0.171,0.242,0.101,0.064,0.099,0.075,0.063,0.058,0.041,0.028,0.024,0.018,0.005,0.001,0.004,0.004,0.001,0.001,nan,nan,nan,nan,nan,nan,nan
145.female.ISFJ.Dutch.A.txt,0.003,0.186,0.221,0.129,0.08,0.107,0.065,0.065,0.051,0.025,0.024,0.017,0.011,0.006,0.003,0.003,0.003,0.002,nan,nan,nan,0.001,nan,nan,nan,nan
15.male.ENFP.Dutch.A.txt,0.004,0.206,0.196,0.158,0.09,0.088,0.053,0.07,0.046,0.032,0.015,0.018,0.012,0.005,0.003,nan,0.002,0.001,nan,nan,nan,nan,nan,nan,nan,nan
16.female.ISTJ.Dutch.OV.txt,nan,0.199,0.208,0.129,0.082,0.095,0.05,0.064,0.036,0.046,0.041,0.02,0.008,0.015,nan,0.001,0.005,nan,0.001,nan,nan,nan,nan,nan,nan,nan
17.female.ENFJ.Dutch.A.txt,nan,0.161,0.291,0.151,0.074,0.1,0.04,0.057,0.04,0.031,0.024,0.013,0.009,0.005,0.001,0.001,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.female.ENFJ.Dutch.A.txt,0.001,0.184,0.231,0.136,0.076,0.097,0.057,0.056,0.044,0.037,0.029,0.02,0.014,0.009,0.002,0.002,0.002,0.001,nan,nan,0.002,nan,nan,nan,nan,nan
19.female.INFJ.Other.A.txt,0.003,0.169,0.239,0.111,0.072,0.113,0.056,0.069,0.054,0.039,0.016,0.025,0.018,0.008,0.003,0.001,0.001,0.001,0.001,0.001,nan,nan,nan,0.001,nan,nan
2.female.ENFJ.Dutch.L.txt,0.002,0.182,0.235,0.146,0.075,0.086,0.051,0.062,0.045,0.026,0.031,0.024,0.023,0.006,0.002,0.002,nan,nan,0.002,0.001,nan,nan,nan,nan,nan,nan
20.female.ISTJ.Dutch.A.txt,0.001,0.193,0.22,0.141,0.086,0.094,0.047,0.065,0.041,0.037,0.031,0.015,0.013,0.009,0.002,0.003,0.001,0.001,nan,nan,nan,0.001,0.001,nan,nan,nan
21.female.ENTJ.Dutch.A.txt,0.001,0.194,0.238,0.14,0.091,0.103,0.07,0.052,0.036,0.026,0.023,0.008,0.007,0.004,0.001,0.003,0.001,0.002,0.001,nan,nan,nan,nan,nan,0.001,nan
22.female.ESFJ.Dutch.A.txt,0.001,0.184,0.223,0.13,0.078,0.094,0.068,0.066,0.049,0.029,0.029,0.02,0.015,0.005,0.003,0.003,0.001,0.002,nan,nan,0.001,0.001,nan,nan,nan,nan
23.female.ESFP.Dutch.A.txt,0.004,0.179,0.23,0.147,0.073,0.097,0.063,0.061,0.04,0.028,0.027,0.019,0.015,0.006,0.004,0.003,0.002,0.001,nan,nan,nan,nan,nan,nan,nan,nan
24.female.ESFJ.Dutch.A.txt,nan,0.192,0.252,0.158,0.076,0.092,0.047,0.048,0.037,0.016,0.032,0.021,0.015,0.006,0.004,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan
25.female.ENFP.Dutch.A.txt,nan,0.169,0.261,0.162,0.1,0.088,0.033,0.051,0.038,0.025,0.028,0.016,0.017,0.003,0.001,0.003,0.002,0.002,0.001,nan,nan,nan,nan,nan,0.001,nan
26.male.ENFP.Dutch.A.txt,nan,0.164,0.236,0.141,0.077,0.097,0.061,0.052,0.056,0.038,0.034,0.024,0.007,0.005,0.002,0.003,0.001,nan,0.001,0.002,nan,nan,nan,nan,nan,nan
27.male.INTJ.Dutch.A.txt,nan,0.188,0.235,0.124,0.085,0.103,0.057,0.063,0.046,0.029,0.03,0.015,0.006,0.007,0.003,0.003,0.003,0.001,0.001,nan,0.002,nan,nan,nan,nan,nan
28.male.INTP.Dutch.A.txt,nan,0.206,0.233,0.107,0.064,0.099,0.05,0.065,0.049,0.039,0.035,0.025,0.009,0.007,0.003,0.002,0.003,0.001,0.002,nan,nan,0.001,nan,nan,nan,nan
29.female.ISTJ.Dutch.Other.txt,0.001,0.179,0.253,0.104,0.082,0.103,0.058,0.058,0.041,0.034,0.039,0.02,0.018,0.006,0.003,0.002,nan,0.001,nan,nan,nan,nan,nan,nan,0.001,nan
3.female.ESFJ.Dutch.Other.txt,nan,0.199,0.241,0.131,0.083,0.097,0.048,0.062,0.035,0.035,0.021,0.02,0.018,0.007,nan,0.002,nan,nan,nan,nan,0.001,0.001,nan,nan,nan,nan
30.male.ISTJ.Dutch.A.txt,nan,0.153,0.246,0.107,0.077,0.103,0.058,0.076,0.059,0.036,0.03,0.021,0.011,0.008,0.003,0.005,0.002,nan,0.002,0.001,0.001,nan,nan,nan,nan,nan
31.male.ISFJ.Dutch.B.txt,nan,0.207,0.216,0.135,0.084,0.082,0.059,0.06,0.045,0.035,0.033,0.016,0.015,0.005,0.002,0.002,0.001,0.002,nan,0.002,nan,nan,nan,nan,nan,nan
32.female.ESFP.Dutch.A.txt,0.001,0.186,0.24,0.138,0.083,0.106,0.052,0.069,0.041,0.028,0.023,0.007,0.01,0.014,nan,0.001,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan
33.female.ISFP.Dutch.A.txt,0.001,0.171,0.267,0.133,0.093,0.097,0.049,0.04,0.046,0.025,0.028,0.018,0.014,0.009,0.003,0.003,0.001,nan,0.002,nan,nan,nan,nan,nan,nan,nan
34.female.ESFP.Dutch.A.txt,0.001,0.17,0.255,0.118,0.082,0.103,0.051,0.06,0.05,0.04,0.03,0.015,0.012,0.009,0.001,0.001,nan,0.001,0.002,nan,nan,nan,nan,nan,nan,nan
35.female.ENTJ.Dutch.A.txt,0.001,0.19,0.241,0.136,0.067,0.096,0.053,0.054,0.055,0.036,0.033,0.018,0.009,0.003,0.004,0.002,0.001,nan,0.001,nan,nan,0.001,nan,nan,nan,nan
36.female.ESFJ.Dutch.A.txt,nan,0.172,0.266,0.126,0.088,0.094,0.061,0.048,0.042,0.023,0.034,0.013,0.016,0.007,0.005,0.003,0.001,nan,nan,nan,0.001,nan,nan,nan,0.001,nan
37.female.INFP.Dutch.A.txt,nan,0.186,0.228,0.146,0.082,0.101,0.066,0.055,0.039,0.029,0.014,0.018,0.013,0.009,0.005,0.003,0.003,nan,nan,0.001,0.001,nan,nan,0.001,nan,nan
38.female.ENFJ.Dutch.A.txt,0.001,0.176,0.272,0.121,0.092,0.106,0.053,0.061,0.038,0.024,0.025,0.011,0.012,0.004,0.003,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.male.INTJ.Dutch.L.txt,nan,0.217,0.242,0.087,0.087,0.11,0.064,0.055,0.048,0.037,0.024,0.013,0.007,0.005,nan,0.002,nan,0.001,0.001,nan,0.001,nan,nan,nan,nan,nan
4.female.ENFJ.Dutch.A.txt,nan,0.194,0.238,0.143,0.076,0.101,0.042,0.049,0.054,0.027,0.028,0.024,0.011,0.008,0.003,0.001,0.001,nan,0.001,nan,0.001,nan,nan,nan,nan,nan
40.female.INFJ.Dutch.A.txt,nan,0.164,0.264,0.126,0.082,0.093,0.048,0.066,0.042,0.037,0.022,0.018,0.012,0.013,0.004,0.004,0.002,nan,nan,nan,0.001,0.002,nan,nan,nan,nan
41.female.ENFJ.Dutch.L.txt,0.002,0.18,0.231,0.14,0.096,0.105,0.059,0.048,0.046,0.026,0.03,0.015,0.012,0.005,0.002,0.002,nan,nan,0.001,nan,0.001,nan,nan,nan,nan,nan
42.female.ISTJ.Dutch.A.txt,nan,0.178,0.226,0.092,0.079,0.085,0.059,0.051,0.066,0.048,0.046,0.014,0.032,0.009,0.002,0.004,0.005,0.002,nan,0.001,nan,0.001,nan,nan,nan,nan
43.female.INTP.Dutch.A.txt,nan,0.17,0.234,0.13,0.07,0.107,0.061,0.06,0.049,0.032,0.031,0.021,0.019,0.011,0.002,0.001,0.001,nan,nan,0.001,0.002,nan,nan,nan,nan,nan
44.female.INFJ.Dutch.A.txt,0.002,0.171,0.227,0.134,0.095,0.087,0.062,0.06,0.041,0.032,0.033,0.018,0.013,0.014,0.004,0.003,0.003,0.001,0.002,nan,0.001,nan,nan,nan,nan,nan
45.female.ISFJ.Dutch.A.txt,nan,0.181,0.267,0.122,0.077,0.085,0.055,0.075,0.035,0.04,0.024,0.013,0.013,0.002,0.005,0.003,0.002,0.001,nan,nan,nan,nan,nan,nan,nan,nan
46.female.ENTJ.Dutch.L.txt,0.002,0.191,0.214,0.138,0.086,0.108,0.06,0.053,0.043,0.035,0.026,0.018,0.013,0.005,0.002,0.002,0.001,0.001,0.001,0.001,nan,nan,nan,nan,nan,0.001
47.male.INTJ.Dutch.A.txt,0.002,0.192,0.225,0.117,0.081,0.098,0.053,0.058,0.041,0.037,0.037,0.025,0.018,0.006,0.006,0.002,nan,0.002,0.002,nan,nan,nan,nan,nan,nan,nan
48.female.ESFJ.Dutch.A.txt,0.006,0.179,0.212,0.141,0.095,0.106,0.063,0.064,0.044,0.027,0.027,0.01,0.013,0.006,0.002,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.female.ESFJ.Dutch.OV.txt,0.001,0.169,0.245,0.168,0.107,0.083,0.06,0.064,0.034,0.024,0.015,0.01,0.008,0.01,0.002,0.001,nan,nan,0.001,0.001,nan,nan,nan,nan,nan,nan
5.male.ENTJ.Dutch.A.txt,0.001,0.154,0.253,0.147,0.096,0.111,0.054,0.04,0.045,0.031,0.034,0.019,0.009,0.003,nan,0.001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.female.ENFJ.Dutch.WV.txt,0.001,0.179,0.219,0.094,0.086,0.084,0.069,0.078,0.048,0.043,0.032,0.02,0.016,0.007,0.007,0.006,0.007,0.001,nan,nan,0.001,0.001,0.001,nan,0.001,nan
51.female.ESFJ.Dutch.A.txt,nan,0.17,0.238,0.104,0.076,0.109,0.083,0.057,0.046,0.042,0.029,0.018,0.012,0.005,0.002,0.003,0.002,nan,0.002,nan,0.001,nan,nan,nan,nan,nan
52.female.ENFJ.Dutch.A.txt,0.003,0.186,0.245,0.148,0.094,0.093,0.05,0.066,0.039,0.025,0.018,0.012,0.011,0.006,nan,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.female.ISFJ.Other.Other.txt,0.004,0.161,0.2,0.125,0.073,0.089,0.055,0.079,0.061,0.057,0.043,0.021,0.016,0.011,0.001,0.002,nan,0.002,0.002,0.001,nan,nan,nan,nan,nan,nan
54.male.INFJ.Dutch.A.txt,0.001,0.162,0.23,0.133,0.083,0.092,0.069,0.055,0.058,0.033,0.038,0.021,0.011,0.006,0.002,0.003,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan
55.female.INFP.Dutch.A.txt,nan,0.177,0.209,0.139,0.059,0.094,0.063,0.065,0.047,0.047,0.032,0.029,0.015,0.013,0.003,0.001,0.004,0.001,nan,nan,0.001,nan,nan,nan,nan,nan
56.male.INFP.Dutch.A.txt,nan,0.167,0.228,0.112,0.065,0.091,0.067,0.061,0.041,0.053,0.046,0.024,0.02,0.01,0.003,0.003,0.004,0.003,0.001,nan,nan,0.001,nan,nan,nan,nan
57.female.ISFP.Dutch.WV.txt,nan,0.184,0.231,0.146,0.069,0.099,0.063,0.064,0.046,0.034,0.022,0.016,0.012,0.007,0.002,nan,0.002,0.001,0.002,nan,0.001,nan,nan,nan,nan,nan
58.female.ISFP.Dutch.A.txt,nan,0.189,0.22,0.13,0.086,0.108,0.053,0.064,0.034,0.053,0.016,0.015,0.006,0.009,0.003,0.003,0.004,0.001,0.002,nan,nan,0.001,nan,nan,nan,0.001
59.female.ESFJ.Dutch.OV.txt,0.001,0.167,0.229,0.122,0.081,0.111,0.05,0.058,0.048,0.036,0.04,0.024,0.008,0.007,0.005,0.004,0.002,0.002,0.003,0.001,nan,nan,nan,nan,0.001,nan
6.female.ESTP.Dutch.A.txt,0.001,0.173,0.223,0.13,0.094,0.098,0.062,0.071,0.039,0.041,0.026,0.012,0.008,0.015,0.001,0.002,0.004,nan,0.001,nan,nan,nan,nan,nan,0.001,nan
60.male.INTJ.Dutch.A.txt,0.001,0.18,0.245,0.127,0.079,0.1,0.058,0.06,0.056,0.025,0.024,0.022,0.014,0.007,nan,nan,0.002,0.001,nan,nan,nan,nan,nan,nan,nan,nan
61.male.INTJ.Dutch.Other.txt,nan,0.171,0.245,0.119,0.079,0.115,0.066,0.045,0.043,0.04,0.024,0.017,0.024,0.005,0.001,0.004,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan
62.female.INTJ.Dutch.Other.txt,0.005,0.186,0.237,0.108,0.078,0.089,0.064,0.067,0.053,0.037,0.026,0.026,0.012,0.007,0.001,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63.female.ESTJ.Dutch.A.txt,nan,0.16,0.259,0.125,0.091,0.086,0.054,0.066,0.051,0.029,0.038,0.016,0.015,0.002,0.001,0.003,0.001,0.002,0.002,nan,nan,nan,nan,nan,nan,nan
64.female.ESFJ.Dutch.OV.txt,nan,0.186,0.207,0.144,0.081,0.078,0.051,0.063,0.06,0.043,0.039,0.015,0.013,0.012,0.002,0.001,0.003,nan,nan,0.001,nan,0.002,nan,nan,nan,nan
65.female.INFJ.Dutch.A.txt,0.002,0.173,0.256,0.144,0.076,0.112,0.045,0.047,0.047,0.023,0.033,0.019,0.01,0.008,0.003,nan,0.001,0.002,nan,nan,nan,nan,nan,nan,nan,nan
66.female.ENFJ.Dutch.L.txt,nan,0.155,0.272,0.136,0.083,0.103,0.049,0.06,0.041,0.025,0.028,0.016,0.017,0.005,0.002,0.002,0.001,0.001,0.001,0.002,0.001,nan,nan,0.001,nan,nan
67.female.ESFJ.Dutch.A.txt,0.001,0.18,0.255,0.138,0.074,0.088,0.046,0.064,0.038,0.043,0.039,0.018,0.007,0.004,0.002,0.002,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan
68.male.INFP.Dutch.L.txt,0.005,0.185,0.236,0.118,0.072,0.086,0.072,0.071,0.029,0.033,0.033,0.029,0.018,0.002,0.003,0.001,0.001,0.002,0.002,nan,nan,0.001,nan,nan,nan,nan
69.female.ESFJ.Dutch.A.txt,nan,0.177,0.259,0.154,0.089,0.089,0.059,0.054,0.039,0.027,0.016,0.014,0.01,0.005,0.004,nan,0.002,nan,nan,0.001,nan,nan,nan,0.001,nan,nan
7.female.INFJ.Dutch.A.txt,nan,0.157,0.261,0.118,0.082,0.1,0.064,0.065,0.039,0.035,0.024,0.018,0.015,0.008,0.002,0.004,0.003,0.002,nan,nan,0.001,0.001,nan,nan,nan,nan
70.female.ENFJ.Dutch.A.txt,0.005,0.19,0.249,0.135,0.092,0.096,0.057,0.049,0.034,0.018,0.019,0.028,0.015,0.005,0.004,0.003,0.001,nan,nan,0.001,nan,nan,nan,nan,nan,nan
71.female.INTJ.Dutch.A.txt,nan,0.178,0.244,0.13,0.069,0.102,0.053,0.063,0.045,0.036,0.026,0.018,0.021,0.002,0.001,0.002,0.003,0.002,0.002,nan,0.002,0.003,0.001,nan,nan,nan
72.male.INFJ.Dutch.A.txt,nan,0.172,0.241,0.114,0.073,0.075,0.068,0.063,0.045,0.039,0.037,0.024,0.024,0.013,0.005,0.002,0.004,0.001,nan,nan,nan,0.001,nan,nan,nan,nan
73.male.ISFJ.Dutch.A.txt,nan,0.195,0.229,0.142,0.093,0.092,0.052,0.052,0.029,0.027,0.028,0.017,0.012,0.012,0.004,0.004,0.001,nan,0.003,nan,0.004,0.003,nan,0.001,nan,nan
74.female.ESFJ.Dutch.A.txt,nan,0.2,0.233,0.151,0.084,0.113,0.05,0.039,0.036,0.02,0.03,0.016,0.016,0.002,nan,nan,0.002,0.001,0.001,0.001,0.004,nan,nan,nan,nan,nan
75.female.ESFJ.Dutch.A.txt,0.004,0.183,0.25,0.13,0.09,0.091,0.066,0.051,0.036,0.031,0.03,0.02,0.011,0.003,0.002,0.002,nan,0.001,0.001,nan,nan,nan,nan,nan,nan,nan
